datestamp_gauge,hourly_timestamp,Average of sentiment_score,Sum of distance_to_gauge_km,Count of post_id,Cunupia,Piarco,St. Augustine,St. Helena
12-04-2025 09:00:00-CR-001,12/04/2025 9:00,-0.3575,12.59,4,0,2,1,1
12-04-2025 09:00:00-CR-002,12/04/2025 9:00,-0.415,10.13,4,2,1,0,1
12-04-2025 09:00:00-CR-003,12/04/2025 9:00,-0.51,4.81,1,0,0,0,1
12-04-2025 09:00:00-CR-004,12/04/2025 9:00,-0.53,1.23,1,0,0,0,1
12-04-2025 09:00:00-CR-005,12/04/2025 9:00,-0.505,5.83,2,1,1,0,0
12-04-2025 09:00:00-CR-006,12/04/2025 9:00,-0.485,5.14,2,0,1,0,1
12-04-2025 09:00:00-CR-007,12/04/2025 9:00,-0.483333333,3.05,3,1,0,2,0
12-04-2025 09:00:00-CR-008,12/04/2025 9:00,-0.275,3.71,2,0,1,0,1
12-04-2025 09:00:15-CR-001,12/04/2025 9:00,-0.483333333,6.3,3,1,1,1,0
12-04-2025 09:00:15-CR-002,12/04/2025 9:00,-0.67,4.01,2,1,0,0,1
12-04-2025 09:00:15-CR-003,12/04/2025 9:00,-0.55,4.34,2,0,0,1,1
12-04-2025 09:00:15-CR-004,12/04/2025 9:00,-0.74,2.4,1,0,0,0,1
12-04-2025 09:00:15-CR-005,12/04/2025 9:00,-0.22,1.28,1,0,0,0,1
12-04-2025 09:00:15-CR-006,12/04/2025 9:00,-0.61,7.97,2,1,0,1,0
12-04-2025 09:00:15-CR-007,12/04/2025 9:00,-0.33,0.17,1,0,0,1,0
12-04-2025 09:00:15-CR-008,12/04/2025 9:00,-0.656666667,7.58,3,2,1,0,0
12-04-2025 09:00:30-CR-001,12/04/2025 9:00,-0.58,13.01,4,0,1,2,1
12-04-2025 09:00:30-CR-002,12/04/2025 9:00,-0.54,5.21,2,1,0,0,1
12-04-2025 09:00:30-CR-003,12/04/2025 9:00,-0.66,4.93,1,1,0,0,0
12-04-2025 09:00:30-CR-004,12/04/2025 9:00,-0.67,0.27,1,0,0,0,1
12-04-2025 09:00:30-CR-005,12/04/2025 9:00,-0.273333333,11.26,3,1,0,1,1
12-04-2025 09:00:30-CR-006,12/04/2025 9:00,-0.96,4.56,1,0,0,0,1
12-04-2025 09:00:30-CR-007,12/04/2025 9:00,-0.486666667,7.47,3,0,0,1,2
12-04-2025 09:00:30-CR-008,12/04/2025 9:00,-0.43,3.5,1,1,0,0,0
