Timestamp,Sensor ID,Time_Sensor_ID,Latitude,Longitude,Location,Predicted Rainfall (mm),Actual Rainfall (mm),Predicted Windspeed (km/h),Actual Windspeed (km/h),Predicted Temperature (°C),Actual Temperature (°C),Predicted Humidity (%),Actual Humidity (%),Predicted Storm,Actual Storm
04/12/2025 9:00,CR-001,2025-04-12 09:00:00-CR-001,10.6406,-61.3994,St. Augustine,0.83,0.8,11,10.5,26.6,26.7,71.1,72,No,No
04/12/2025 9:00,CR-001,2025-04-12 09:00:15-CR-001,10.6406,-61.3994,St. Augustine,0.82,0.79,14.2,13.3,28,27.9,84.7,85.1,No,No
04/12/2025 9:00,CR-001,2025-04-12 09:00:30-CR-001,10.6406,-61.3994,St. Augustine,0.96,1.02,10.9,11,26.8,26.7,83.4,82.2,No,No
04/12/2025 9:00,CR-001,2025-04-12 09:00:45-CR-001,10.6406,-61.3994,St. Augustine,1.11,1.11,13,12.9,27.7,27.9,71.9,71.6,No,No
04/12/2025 9:01,CR-001,2025-04-12 09:01:00-CR-001,10.6406,-61.3994,St. Augustine,0.61,0.63,14.2,13.9,26.6,26.8,81.5,82.7,No,No
04/12/2025 9:01,CR-001,2025-04-12 09:01:15-CR-001,10.6406,-61.3994,St. Augustine,1.3,1.31,14.3,14.7,26.5,26.8,84.5,85,No,No
04/12/2025 9:01,CR-001,2025-04-12 09:01:30-CR-001,10.6406,-61.3994,St. Augustine,1.43,1.48,12.3,11.4,27,27.4,77.7,77.8,No,No
04/12/2025 9:01,CR-001,2025-04-12 09:01:45-CR-001,10.6406,-61.3994,St. Augustine,1.12,1.17,13.5,13.6,26,26.3,70.9,71.2,No,No
04/12/2025 9:02,CR-001,2025-04-12 09:02:00-CR-001,10.6406,-61.3994,St. Augustine,1.49,1.42,10.9,10.8,26.5,26.2,75.9,75,No,No
04/12/2025 9:02,CR-001,2025-04-12 09:02:15-CR-001,10.6406,-61.3994,St. Augustine,1.13,1.12,12.1,11.9,27.4,27.2,73.9,73.1,No,No
04/12/2025 9:02,CR-001,2025-04-12 09:02:30-CR-001,10.6406,-61.3994,St. Augustine,0.86,0.8,10.9,11.2,27.9,28,74.1,72.1,No,No
