Timestamp,Sensor ID,Time_Sensor_ID,Latitude,Longitude,Location,Predicted Rainfall (mm),Actual Rainfall (mm),Predicted Windspeed (km/h),Actual Windspeed (km/h),Predicted Temperature (°C),Actual Temperature (°C),Predicted Humidity (%),Actual Humidity (%),Predicted Storm,Actual Storm,Flood Event
3/1/2025 0:00,CR-001,01-03-2025 00-00-00-CR-001,10.62038,-61.466257,Port of Spain,44.1,28.6,26.8,11.5,30.3,25.4,88.7,75.2,Rainy,Storm,No
3/1/2025 0:00,CR-002,01-03-2025 00-00-00-CR-002,10.617247,-61.43931,Chaguanas,37.1,34.7,23.7,13.9,31.5,29.4,64.3,79.4,Rainy,Clear,No
3/1/2025 0:00,CR-003,01-03-2025 00-00-00-CR-003,10.616628,-61.420142,Couva,25.2,21.6,19.4,7.8,28.9,29.7,68.6,72.5,Storm,Storm,No
3/1/2025 0:00,CR-004,01-03-2025 00-00-00-CR-004,10.609654,-61.395995,San Fernando,44,42.4,11.6,29.5,29.2,24.5,80.7,86.9,Clear,Rainy,No
3/1/2025 0:00,CR-005,01-03-2025 00-00-00-CR-005,10.606111,-61.374422,Princes Town,38.2,40.7,21.6,10.1,29.3,25.3,84.9,71.5,Storm,Cloudy,No
3/1/2025 0:00,CR-006,01-03-2025 00-00-00-CR-006,10.582769,-61.341406,Point Fortin,28.8,16.9,8.7,15.6,30.2,28.2,72.9,83.1,Storm,Rainy,No
3/1/2025 0:00,CR-007,01-03-2025 00-00-00-CR-007,10.578663,-61.291224,Sangre Grande,35,15.7,24,26.8,25.5,25.1,85.6,84.2,Rainy,Clear,No
3/1/2025 0:00,CR-008,01-03-2025 00-00-00-CR-008,10.5799,-61.255061,Arima,41.3,33.2,7.3,26,31.5,29.9,86.5,64.2,Storm,Storm,No
3/1/2025 0:00,CITY-PortofSpain,01-03-2025 00-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,31.3,42.9,5.7,25.7,26.4,31.3,86.3,80.8,Cloudy,Cloudy,No
3/1/2025 0:00,CITY-SanFernando,01-03-2025 00-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,43,27,8.6,7.3,25.6,30.8,85.1,60.7,Clear,Storm,No
3/1/2025 0:00,CITY-Chaguanas,01-03-2025 00-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,16.3,44.9,17,17.5,31.1,26,72.2,66.7,Clear,Clear,No
3/1/2025 0:00,CITY-Arima,01-03-2025 00-00-00-CITY-Arima,10.6333,-61.2833,Arima,34,36.6,22,24.9,29.6,28.1,65,78,Clear,Cloudy,No
3/1/2025 0:00,CITY-PointFortin,01-03-2025 00-00-00-CITY-PointFortin,10.176,-61.6863,Point Fortin,29.8,38.2,22,24.7,25.9,24.1,61.6,78.7,Clear,Clear,No
3/1/2025 0:00,CITY-SangreGrande,01-03-2025 00-00-00-CITY-SangreGrande,10.5833,-61.1167,Sangre Grande,12.5,10.1,20.4,28.3,26.6,27.4,63.1,81,Clear,Clear,No
3/1/2025 0:00,CITY-Couva,01-03-2025 00-00-00-CITY-Couva,10.4256,-61.4675,Couva,42.7,3.2,26.6,27.4,29.6,27.5,73.9,76.9,Rainy,Rainy,No
3/1/2025 0:00,CITY-PrincesTown,01-03-2025 00-00-00-CITY-PrincesTown,10.2711,-61.3711,Princes Town,17.8,13.4,6,13.6,26.1,30.9,71.5,77.9,Clear,Rainy,No
3/1/2025 1:00,CR-001,01-03-2025 01-00-00-CR-001,10.62038,-61.466257,Port of Spain,28.6,28.1,21.9,20.3,28.5,31.8,74.5,69.9,Cloudy,Cloudy,No
3/1/2025 1:00,CR-002,01-03-2025 01-00-00-CR-002,10.617247,-61.43931,Chaguanas,37.2,30.9,21.4,6.7,29.7,29,67.2,64.2,Cloudy,Clear,No
3/1/2025 1:00,CR-003,01-03-2025 01-00-00-CR-003,10.616628,-61.420142,Couva,11.4,1.6,17.8,5.5,31.4,27.2,71.4,61.1,Storm,Clear,No
3/1/2025 1:00,CR-004,01-03-2025 01-00-00-CR-004,10.609654,-61.395995,San Fernando,28.2,35.1,10.1,13.7,26,31.8,71.4,84.6,Storm,Cloudy,No
3/1/2025 1:00,CR-005,01-03-2025 01-00-00-CR-005,10.606111,-61.374422,Princes Town,13.2,12.2,24.1,26.5,24.4,24.8,70.3,84.4,Rainy,Cloudy,No
3/1/2025 1:00,CR-006,01-03-2025 01-00-00-CR-006,10.582769,-61.341406,Point Fortin,38.1,5.2,16.9,24.5,24.5,26.7,82.1,80.9,Cloudy,Rainy,No
3/1/2025 1:00,CR-007,01-03-2025 01-00-00-CR-007,10.578663,-61.291224,Sangre Grande,3.8,6.8,23.6,16.8,29.2,28,80.3,66.2,Cloudy,Cloudy,No
3/1/2025 1:00,CR-008,01-03-2025 01-00-00-CR-008,10.5799,-61.255061,Arima,40.9,14,10.2,9.2,29.4,28.1,77.3,78.5,Rainy,Cloudy,No
3/1/2025 1:00,CITY-PortofSpain,01-03-2025 01-00-00-CITY-PortofSpain,10.6678,-61.5189,Port of Spain,29.6,13.9,21.5,11.5,25.5,29,84.5,65.2,Cloudy,Cloudy,No
3/1/2025 1:00,CITY-SanFernando,01-03-2025 01-00-00-CITY-SanFernando,10.28,-61.4595,San Fernando,45.3,27.4,24.8,16.1,30.4,25.1,79.6,87.6,Clear,Clear,No
3/1/2025 1:00,CITY-Chaguanas,01-03-2025 01-00-00-CITY-Chaguanas,10.5167,-61.4167,Chaguanas,7.8,46.1,22.6,9.4,25.7,27.7,82.8,70,Clear,Clear,No
3/1/2025 1:00,CITY-Arima,01-03-2025 01-00-00-CITY-Arima,10.6333,-61.2833,Arima,23.1,34.1,18.5,15.7,25.4,30.2,69.6,84.6,Storm,Storm,No
