datestamp_gauge,hourly_timestamp,Average of sentiment_score,Sum of distance_to_gauge_km,Count of post_id,Cunupia,Piarco,St. Augustine,St. Helena
01-03-2025 00-00-00-CR-001,3/1/2025 0:00,0.0333333333333333,4.38,3,0,0,0,3
01-03-2025 00-00-00-CR-002,3/1/2025 0:00,-0.105,11.44,5,1,4,0,0
01-03-2025 01-00-00-CR-001,3/1/2025 1:00,0.154166666666667,2.92,2,0,0,0,2
01-03-2025 01-00-00-CR-002,3/1/2025 1:00,0.2,5.59,3,2,1,0,0
01-03-2025 01-00-00-CR-003,3/1/2025 1:00,0.154166666666667,2.46,2,0,0,2,0
01-03-2025 02-00-00-CR-002,3/1/2025 2:00,-0.072222222222222,6.5,3,1,2,0,0
01-03-2025 02-00-00-CR-003,3/1/2025 2:00,0.052777777777778,3.69,3,0,0,3,0
01-03-2025 03-00-00-CR-001,3/1/2025 3:00,-0.0333333333333333,1.46,1,0,0,0,1
01-03-2025 03-00-00-CR-002,3/1/2025 3:00,-0.0875,4.94,2,0,2,0,0
01-03-2025 03-00-00-CR-003,3/1/2025 3:00,-0.0166666666666667,3.69,3,0,0,3,0
01-03-2025 04-00-00-CR-001,3/1/2025 4:00,-0.0166666666666666,4.38,3,0,0,0,3
01-03-2025 04-00-00-CR-002,3/1/2025 4:00,0.0537878787878789,19.89,11,8,3,0,0
01-03-2025 04-00-00-CR-003,3/1/2025 4:00,0,2.46,2,0,0,2,0
01-03-2025 05-00-00-CR-001,3/1/2025 5:00,0.269444444444445,4.38,3,0,0,0,3
01-03-2025 05-00-00-CR-003,3/1/2025 5:00,-0.0125,2.46,2,0,0,2,0
01-03-2025 06-00-00-CR-001,3/1/2025 6:00,-0.05,5.84,4,0,0,0,4
01-03-2025 06-00-00-CR-002,3/1/2025 6:00,0.00500000000000002,9.62,5,3,2,0,0
01-03-2025 06-00-00-CR-003,3/1/2025 6:00,-0.191666666666666,1.23,1,0,0,1,0
01-03-2025 07-00-00-CR-001,3/1/2025 7:00,-0.0125,2.92,2,0,0,0,2
01-03-2025 07-00-00-CR-002,3/1/2025 7:00,0.45,4.03,2,1,1,0,0
01-03-2025 07-00-00-CR-003,3/1/2025 7:00,0,1.23,1,0,0,1,0
01-03-2025 08-00-00-CR-001,3/1/2025 8:00,0.5,1.46,1,0,0,0,1
01-03-2025 08-00-00-CR-002,3/1/2025 8:00,-0.0194444444444444,5.59,3,2,1,0,0
01-03-2025 08-00-00-CR-003,3/1/2025 8:00,0.125,1.23,1,0,0,1,0
01-03-2025 09-00-00-CR-001,3/1/2025 9:00,-0.0333333333333333,1.46,1,0,0,0,1
01-03-2025 09-00-00-CR-002,3/1/2025 9:00,-0.175,5.59,3,2,1,0,0
01-03-2025 09-00-00-CR-003,3/1/2025 9:00,-0.00166666666666666,6.15,5,0,0,5,0
01-03-2025 10-00-00-CR-001,3/1/2025 10:00,0,1.46,1,0,0,0,1
01-03-2025 10-00-00-CR-002,3/1/2025 10:00,-0.2625,8.97,4,1,3,0,0
01-03-2025 10-00-00-CR-003,3/1/2025 10:00,0.05,2.46,2,0,0,2,0
01-03-2025 11-00-00-CR-001,3/1/2025 11:00,-0.0083333333333333,4.38,3,0,0,0,3
01-03-2025 11-00-00-CR-002,3/1/2025 11:00,0.147619047619048,12.74,7,5,2,0,0
01-03-2025 11-00-00-CR-003,3/1/2025 11:00,-0.0249999999999999,1.23,1,0,0,1,0
01-03-2025 12-00-00-CR-001,3/1/2025 12:00,-0.0666666666666666,4.38,3,0,0,0,3
01-03-2025 12-00-00-CR-002,3/1/2025 12:00,0.0500000000000001,4.03,2,1,1,0,0
